2026-07-29 14:52:25,005 | INFO     | housecall.cli | HouseCall started.
2026-07-29 14:52:25,005 | INFO     | housecall.cli | Testing Home Assistant connection.
2026-07-29 14:52:25,377 | INFO     | housecall.cli | Successfully connected to Home Assistant.
2026-07-29 14:52:25,377 | INFO     | housecall.cli | Starting inventory scan.
2026-07-29 14:52:25,434 | INFO     | housecall.cli | Running analysis.
2026-07-29 14:52:25,435 | INFO     | housecall.cli | Writing inventory to inventory.json.
2026-07-29 14:52:25,462 | INFO     | housecall.cli | Inventory complete: 750 states, 448 unavailable.
2026-07-29 14:55:35,107 | INFO     | housecall.cli | HouseCall started.
2026-07-29 14:55:35,108 | INFO     | housecall.cli | Testing Home Assistant connection.
2026-07-29 14:55:35,901 | INFO     | housecall.cli | Successfully connected to Home Assistant.
2026-07-29 14:55:35,902 | INFO     | housecall.cli | Starting inventory scan.
2026-07-29 14:55:35,952 | INFO     | housecall.cli | Running analysis.
2026-07-29 14:55:35,952 | INFO     | housecall.cli | Writing inventory to inventory.json.
2026-07-29 14:55:35,979 | INFO     | housecall.cli | Inventory complete: 750 states, 448 unavailable.
